"probe" "entrez.id"
"839" "201616_s_at" "800"
"840" "201617_x_at" "800"
"841" "201621_at" "4681"
"842" "201626_at" "3638"
"843" "201627_s_at" "3638"
"844" "201629_s_at" "52"
"845" "201631_s_at" "8870"
"846" "201641_at" "684"
"847" "201644_at" "7264"
"848" "201645_at" "3371"
"849" "201646_at" "950"
"850" "201647_s_at" "950"
"851" "201649_at" "9246"
"852" "201650_at" "3880"
"853" "201663_s_at" "10051"
"854" "201666_at" "7076"
"855" "201667_at" "2697"
"856" "201668_x_at" "4082"
"857" "201669_s_at" "4082"
"858" "201670_s_at" "4082"
"859" "201688_s_at" "7163"
"860" "201689_s_at" "7163"
"861" "201693_s_at" "1958"
"862" "201694_s_at" "1958"
"863" "201695_s_at" "4860"
"864" "201710_at" "4605"
"865" "201718_s_at" "2037"
"866" "201719_s_at" "2037"
"867" "201720_s_at" "7805"
"868" "201721_s_at" "7805"
"869" "201724_s_at" "2589"
"870" "201739_at" "6446"
"871" "201743_at" "929"
"872" "201744_s_at" "4060"
"873" "201746_at" "7157"
"874" "201761_at" "10797"
"875" "201774_s_at" "9918"
"876" "201777_s_at" "9813"
"877" "201785_at" "6035"
"878" "201787_at" "2192"
"879" "201790_s_at" "1717"
"880" "201792_at" "165"
"881" "201798_s_at" "26509"
"882" "201801_s_at" "2030"
"883" "201810_s_at" "9467"
"884" "201820_at" "3852"
"885" "201829_at" "10276"
"886" "201830_s_at" "10276"
"887" "201835_s_at" "5564"
"888" "201842_s_at" "2202"
"889" "201843_s_at" "2202"
"890" "201847_at" "3988"
"891" "201848_s_at" "664"
"892" "201849_at" "664"
"893" "201850_at" "822"
"894" "201852_x_at" "1281"
"895" "201853_s_at" "994"
"896" "201858_s_at" "5552"
"897" "201859_at" "5552"
"898" "201860_s_at" "5327"
"899" "201865_x_at" "2908"
"900" "201866_s_at" "2908"
"901" "201867_s_at" "6907"
"902" "201884_at" "1048"
"903" "201888_s_at" "3597"
"904" "201890_at" "6241"
"905" "201892_s_at" "3615"
"906" "201893_x_at" "1634"
