probeset Group
209242_at C3.UP
215028_at C2.Down
240065_at C2.Down
201150_s_at C2.Down
224355_s_at C3.UP
220102_at C3.UP
205471_s_at C2.Down
239216_at C2.Down
204014_at C2.Down
230600_at C3.UP
238327_at C3.UP
229613_at C2.Down
243087_at C2.Down
202036_s_at C2.Down
220636_at C3.UP
218980_at C3.UP
238116_at C2.Down
239178_at C2.Down
203296_s_at C2.Down
238682_at C3.UP
232777_s_at C3.UP
212915_at C2.Down
240275_at C2.Down
213909_at C2.Down
220269_at C3.UP
239884_at C3.UP
205472_s_at C2.Down
212713_at C2.Down
210319_x_at C2.Down
1553655_at C3.UP
236915_at C3.UP
228100_at C2.Down
218976_at C2.Down
213791_at C2.Down
204015_s_at C3.UP
222108_at C3.UP
229831_at C2.Down
205713_s_at C2.Down
205728_at C2.Down
229012_at C3.UP
237400_at C3.UP
219115_s_at C2.Down
209866_s_at C2.Down
229151_at C2.Down
220156_at C3.UP
39549_at C3.UP
226269_at C2.Down
210170_at C2.Down
202766_s_at C2.Down
236320_at C3.UP
207813_s_at C3.UP
213492_at C2.Down
1556711_at C2.Down
204260_at C2.Down
219115_s_at C3.UP
227662_at C3.UP
231084_at C2.Down
205907_s_at C2.Down
1553602_at C2.Down
229169_at C3.UP
229160_at C3.UP
219837_s_at C2.Down
233249_at C2.Down
205856_at C2.Down
214222_at C3.UP
223786_at C3.UP
212850_s_at C2.Down
208399_s_at C2.Down
213432_at C2.Down
1555007_s_at C3.UP
236666_s_at C3.UP
232984_at C2.Down
222890_at C2.Down
206439_at C2.Down
228241_at C3.UP
234936_s_at C3.UP
213992_at C2.Down
203325_s_at C2.Down
206228_at C2.Down
220125_at C3.UP
238824_at C3.UP
229170_s_at C2.Down
242127_at C2.Down
203295_s_at C2.Down
220390_at C3.UP
204664_at C3.UP
219179_at C2.Down
206377_at C2.Down
205422_s_at C2.Down
220623_s_at C3.UP
205862_at C3.UP
213765_at C2.Down
226424_at C2.Down
1554242_a_at C2.Down
218876_at C3.UP
209469_at C3.UP
214023_x_at C2.Down
219525_at C2.Down
223121_s_at C2.Down
203908_at C3.UP
205714_s_at C3.UP
205862_at C2.Down
231729_s_at C2.Down
236320_at C2.Down
223962_at C3.UP
214234_s_at C3.UP
221911_at C2.Down
243140_at C2.Down
231384_at C2.Down
219873_at C3.UP
219230_at C3.UP
213764_s_at C2.Down
204803_s_at C2.Down
205278_at C2.Down
236407_at C3.UP
236587_at C3.UP
238018_at C2.Down
214587_at C2.Down
206201_s_at C2.Down
241365_at C3.UP
